순번,구코드,구,법정동,아파트,계약일,거래금액(만원),전용면적(㎡),층,건축년도,지번,거래유형,중개사소재지,매수자,매도자,해제사유발생일,등기일자,거래키
1,41591,만세구,향남읍 장짐리,장짐마을신성발안2차미소지움A,2026-06-25,24000,59.9533,11,2007,410,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:0
2,41591,만세구,향남읍 장짐리,장짐마을신성발안2차미소지움A,2026-06-25,24000,59.9533,11,2007,410,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:1
3,41591,만세구,향남읍 발안리,우림필유,2026-06-30,27700,84.494,3,2006,305,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:2
4,41591,만세구,남양읍 남양리,대광파인밸리,2026-06-20,20800,59.65,14,2003,2001,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:3
5,41591,만세구,새솔동,송산신도시대방노블랜드더퍼스티지1차,2026-06-25,54500,84.9556,6,2018,14,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:4
6,41591,만세구,새솔동,세영리첼에듀파크,2026-06-30,49500,84.8862,11,2019,26,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:5
7,41591,만세구,향남읍 하길리,모아미래도에듀파크서봉마을4단지,2026-06-18,40000,73.9805,13,2018,1515,직거래,,개인,개인,,,202606:41591:6
8,41591,만세구,남양읍 남양리,화성남양시티프라디움4차,2026-06-25,41000,84.6434,20,2023,2191,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:7
9,41591,만세구,향남읍 발안리,우림필유,2026-06-29,27500,84.494,17,2006,305,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:8
10,41591,만세구,향남읍 발안리,우림필유,2026-06-22,27300,73.611,13,2006,305,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:9
11,41591,만세구,향남읍 행정리,향남살구꽃마을화성파크드림,2026-06-27,34000,84.9868,15,2008,482,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:10
12,41591,만세구,남양읍 남양리,e편한세상남양뉴타운,2026-06-26,42800,84.97,8,2022,2195,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:11
13,41591,만세구,남양읍 남양리,e편한세상남양뉴타운,2026-06-13,44000,84.97,15,2022,2195,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:12
14,41591,만세구,남양읍 남양리,남양뉴타운양우내안애1차,2026-06-20,35500,69.8681,7,2016,2299,중개거래,경기 화성시 만세구,개인,개인,,,202606:41591:13
